Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0
2010-03-16,6.725196838378906,6.74107719553344,6.66706887447151,6.717107041362104,446908000,6.346269726753235,6.2010659503936765,70.4803965262959,0.17469763547610206,0.05585524751529336,0.1188423879608087,5.728227306466118,6.346269726753235,6.964312147040352,19.477344862343536,0.8065542907634378
2010-03-17,6.7153096199035645,6.785123028127878,6.689841279572902,6.738680501610635,450956800,6.3785848140716555,6.207124471664429,69.69121759459561,0.17398684680195498,0.044115567072917,0.12987127972903798,5.7540312357081325,6.3785848140716555,7.003138392435178,19.582825863997577,0.7695723933839328
2010-03-18,6.731188774108887,6.741675665301898,6.670064048158868,6.714708344964639,342109600,6.4111246347427375,6.213278875350952,70.26703304121409,0.17271391815565984,0.03427411074129749,0.13843980741436235,5.784176624984497,6.4111246347427375,7.0380726445009785,19.558128892416978,0.7552557264593359
2010-03-19,6.659277439117432,6.7488668686802535,6.628714876489338,6.735383608724794,559445600,6.441956496238709,6.22003851890564,64.3085186174482,0.16401184285618786,0.020457628353460405,0.14355421450272746,5.8308591137420125,6.441956496238709,7.053053878735406,18.972415689348427,0.6778120387219114
2010-03-22,6.734184741973877,6.7716389512735224,6.596354979963863,6.605943359957176,456419600,6.47840645313263,6.2285300064086915,67.40878116044205,0.16130040810177526,0.014196954879238222,0.14710345322253704,5.890475809178151,6.47840645313263,7.066337097087109,18.150471052034273,0.7175242024474667
2010-03-23,6.842351913452148,6.854936664143012,6.714708985312008,6.76085227107992,602431200,6.525298428535462,6.238345880508422,71.28728445373523,0.16596660357619353,0.01509052028292518,0.15087608329326835,5.982203714901023,6.525298428535462,7.0683931421699,16.645819944708055,0.791895204424783
2010-03-24,6.872614860534668,6.89748432501135,6.81688319314131,6.820778873176601,597780400,6.568310308456421,6.249887628555297,72.28117554704014,0.1701452356544575,0.015415321888951311,0.15472991376550618,6.061190159175411,6.568310308456421,7.07543045773743,15.441418735290679,0.8000320067243312
2010-03-25,6.791115760803223,6.920556521158322,6.779130282965162,6.919057936379238,542284400,6.605239725112915,6.261231622695922,65.68686574498797,0.16497876296620895,0.00819907936056219,0.15677968360564676,6.151507559558909,6.605239725112915,7.05897189066692,13.738552556357043,0.7048301286545928
2010-03-26,6.91845703125,6.949917699370786,6.848043573844596,6.860029047470633,640875200,6.644611096382142,6.273366651535033,70.25336174776619,0.1692091348504734,0.0099435609958613,0.1592655738546121,6.22909013815924,6.644611096382142,7.0601320546050435,12.507006119564913,0.8295212063899754
2010-03-29,6.963101387023926,7.00744684231453,6.94003054889484,6.981379635578077,540744400,6.679667735099793,6.2871256351470945,71.67651430488621,0.17415659265799643,0.01191281504270747,0.16224377761528896,6.2821582904028475,6.679667735099793,7.077177179796738,11.902072392258196,0.8565118460772901
2010-03-30,7.066774845123291,7.115615263772722,7.018833737296755,7.0892472144138985,527310000,6.720117688179016,6.305055475234985,74.70318466524397,0.18431836289508663,0.017659668223838132,0.1666586946712485,6.3390663792379325,6.720117688179016,7.1011689971201,11.340614156545792,0.9548693952890651
2010-03-31,7.041304588317871,7.089545722716324,7.025124997980432,7.055987194503329,430659600,6.7585751771926885,6.317016687393189,72.64918856746434,0.18814755427134866,0.017191087680080125,0.17095646659126854,6.414417566776598,6.7585751771926885,7.102732787608779,10.184324399541355,0.9107557156492337
